Categoria,Desconto,Preço,Produto,Unnamed: 0
Disco Rigido (HD),-12%,779.99,"HD Externo WD Elements, 4TB, USB 3.0, Preto - WDBU6Y0040BBK",11
Disco Rigido (HD),-13%,509.99,"HD Externo WD Elements, 2TB, USB 3.0, Preto - WDBU6Y0020BBK",12
Disco Rigido (HD),-35%,2019.99,"HD Surveillance WD Purple Pro, 10TB, 7200RPM, Cache 256MB, 3.5"", SATA - WD101PURP",13
Disco Rigido (HD),-3%,399.99,"HD Externo WD Elements, 1TB, USB 3.0, Preto - STEA1000400",14
Disco Rigido (HD),-11%,1149.99,"HD Externo WD Elements, 6TB, USB, Preto - WDBHJS0060BBK-WESN",15
Disco Rigido (HD),-19%,474.99,"HD Interno Seagate BarraCuda, 2TB, SATA, 3.5' - ST2000DM008",16
Disco Rigido (HD),-13%,969.99,"HD WD Red Plus, NAS, 6TB, 3.5', Cache 256MB, 5400RPM, SATA - WD60EFPX",17
Disco Rigido (HD),-13%,12.99,"Case F3 Caddy para Notebook, 2.5', SATA - 1167",18
Disco Rigido (HD),-13%,579.99,"HD Toshiba Surveillance S300, 4TB, 5400 RPM, SATA - HDWT840UZSVA",19
Disco Rigido (HD),-10%,1313.54,"HD Externo Seagate Expansion, 8TB, USB 3.0 - STKP8000400",20
Disco Rigido (HD),-19%,1022.07,"HD Externo WD My Passport, 4TB, USB 3.0, Preto - WDBPKJ0040BBK-WESN",21
Disco Rigido (HD),-12%,649.99,"HD Interno WD Purple, 3TB, SATA, 3.5'- WD33PURZ",22
Disco Rigido (HD),-6%,19.99,"Case para HD Externo F3, 2.5´, USB 2.0, Preto - CS-U2",23
Disco Rigido (HD),-10%,1789.99,"HD Interno WD Purple Pro Smart, 8TB, SATA, 3.5' - WD8002PURP",24
Disco Rigido (HD),-14%,220.0,"HD Externo Seagate Expansion, 500GB, USB 3.0",25
Disco Rigido (HD),-15%,364.99,"HD Surveillance WD Purple, 1TB, 5400RPM, Cache 64MB, 3.5', SATA - WD11PURZ",26
Disco Rigido (HD),,504.9,"HD Seagate 2TB Barracuda, 3.5, SATA - ST2000DM008",27
Disco Rigido (HD),,2524.99,"HD WD Red Pro, NAS, 14TB, 3.5', Cache 512MB, 7200RPM, SATA - WD142KFGX",28
Disco Rigido (HD),,1004.99,"HD Externo Portátil Seagate, 5TB, USB 3.0, Preto - STGX5000400",29
Disco Rigido (HD),,364.99,"HD Externo Toshiba Canvio Ready, 1TB, USB 3.0, Preto - HDTP310XK3AA",30
